Bank region size (B),Trial,Time (s)
1024,0,0.00168599
1024,1,3.2262e-05
1024,2,3.0655e-05
1024,3,0.000243534
1024,4,2.366e-05
1024,5,0.000571797
1024,6,0.00124994
1024,7,0.000220215
1024,8,7.372e-05
1024,9,0.000115251
16384,0,0.000129444
16384,1,0.00010251
16384,2,0.000103896
16384,3,0.000101522
16384,4,8.3549e-05
16384,5,9.0032e-05
16384,6,9.0927e-05
16384,7,0.000101942
16384,8,8.7783e-05
16384,9,8.6669e-05
32768,0,9.2463e-05
32768,1,9.434e-05
32768,2,0.000106276
32768,3,9.6799e-05
32768,4,9.1102e-05
32768,5,6.3928e-05
32768,6,6.675e-05
32768,7,6.6229e-05
32768,8,7.5075e-05
32768,9,6.6784e-05
65536,0,6.8897e-05
65536,1,0.000101704
65536,2,8.285e-05
65536,3,7.4568e-05
65536,4,7.4515e-05
65536,5,7.4646e-05
65536,6,6.7282e-05
65536,7,7.4636e-05
65536,8,8.3483e-05
65536,9,7.9897e-05
131072,0,9.1007e-05
131072,1,0.00016184
131072,2,0.000140618
131072,3,0.000132446
131072,4,0.000163685
131072,5,0.000151608
131072,6,0.00015811
131072,7,0.000164877
131072,8,0.000169135
131072,9,0.000175713
262144,0,0.000230567
262144,1,0.000215449
262144,2,0.000213809
262144,3,0.000205731
262144,4,0.000218448
262144,5,0.000252643
262144,6,0.000248456
262144,7,0.000233351
262144,8,0.000248298
262144,9,0.00024198
524288,0,0.000315945
524288,1,0.000323941
524288,2,0.000217858
524288,3,0.000257096
524288,4,0.00028216
524288,5,0.000289245
524288,6,0.000277766
524288,7,0.000279712
524288,8,0.000289609
524288,9,0.00027105
1048576,0,0.000379784
1048576,1,0.000338686
1048576,2,0.000381679
1048576,3,0.000369695
1048576,4,0.000349909
1048576,5,0.00035981
1048576,6,0.000392841
1048576,7,0.000361832
1048576,8,0.000392516
1048576,9,0.000376354
2097152,0,0.000517573
2097152,1,0.000439869
2097152,2,0.000469975
2097152,3,0.000455685
2097152,4,0.000479948
2097152,5,0.000415949
2097152,6,0.00045372
2097152,7,0.000497218
2097152,8,0.000478723
2097152,9,0.000475517
4194304,0,0.000729288
4194304,1,0.000689202
4194304,2,0.000633046
4194304,3,0.000634997
4194304,4,0.000602571
4194304,5,0.000641882
4194304,6,0.000619795
4194304,7,0.00064703
4194304,8,0.000632221
4194304,9,0.000638563
8388608,0,0.00113865
8388608,1,0.000988178
8388608,2,0.00100734
8388608,3,0.000988736
8388608,4,0.00098588
8388608,5,0.000981478
8388608,6,0.0010013
8388608,7,0.00102624
8388608,8,0.00102276
8388608,9,0.00095036
16777216,0,0.00243574
16777216,1,0.00226793
16777216,2,0.00228888
16777216,3,0.0022776
16777216,4,0.00228095
16777216,5,0.00231014
16777216,6,0.00229665
16777216,7,0.00225167
16777216,8,0.00230867
16777216,9,0.00230326
33554432,0,0.00532315
33554432,1,0.00512061
33554432,2,0.00516115
33554432,3,0.00510814
33554432,4,0.00519787
33554432,5,0.00535232
33554432,6,0.00529995
33554432,7,0.00532942
33554432,8,0.00514798
33554432,9,0.00518633
268435456,0,0.0455465
268435456,1,0.045416
268435456,2,0.0454272
268435456,3,0.045419
268435456,4,0.0455057
268435456,5,0.0454661
268435456,6,0.0454409
268435456,7,0.0465703
268435456,8,0.0455478
268435456,9,0.0455363
536870912,0,0.0920928
536870912,1,0.0915142
536870912,2,0.0914543
536870912,3,0.0915872
536870912,4,0.0913045
536870912,5,0.091294
536870912,6,0.0916337
536870912,7,0.0913763
536870912,8,0.0914183
536870912,9,0.0918282
1073741824,0,0.183156
1073741824,1,0.183328
1073741824,2,0.183346
1073741824,3,0.18344
1073741824,4,0.183757
1073741824,5,0.183837
1073741824,6,0.1833
1073741824,7,0.183328
1073741824,8,0.183291
1073741824,9,0.183103
