Variant,Trial,Time (s)
simple_query_1::end_to_end,0,0.0139973
simple_query_1::end_to_end,1,0.013445
simple_query_1::end_to_end,2,0.013102
simple_query_1::end_to_end,3,0.0131038
simple_query_1::end_to_end,4,0.0131469
simple_query_1::end_to_end,5,0.0131335
simple_query_1::end_to_end,6,0.0131595
simple_query_1::end_to_end,7,0.0131895
simple_query_1::end_to_end,8,0.013146
simple_query_1::end_to_end,9,0.0132028
simple_query_1::end_to_end_avx,0,0.01307
simple_query_1::end_to_end_avx,1,0.0130814
simple_query_1::end_to_end_avx,2,0.0131345
simple_query_1::end_to_end_avx,3,0.0131105
simple_query_1::end_to_end_avx,4,0.0131495
simple_query_1::end_to_end_avx,5,0.0130978
simple_query_1::end_to_end_avx,6,0.0131061
simple_query_1::end_to_end_avx,7,0.0131386
simple_query_1::end_to_end_avx,8,0.0130935
simple_query_1::end_to_end_avx,9,0.013097
simple_query_1::filter,0,0.033965
simple_query_1::filter,1,0.0339223
simple_query_1::filter,2,0.0339337
simple_query_1::filter,3,0.0338826
simple_query_1::filter,4,0.0339805
simple_query_1::filter,5,0.0339379
simple_query_1::filter,6,0.0338758
simple_query_1::filter,7,0.0339146
simple_query_1::filter,8,0.0338853
simple_query_1::filter,9,0.0339104
simple_query_1::filter_avx,0,0.0141716
simple_query_1::filter_avx,1,0.0141842
simple_query_1::filter_avx,2,0.0142354
simple_query_1::filter_avx,3,0.0141951
simple_query_1::filter_avx,4,0.0142129
simple_query_1::filter_avx,5,0.0142017
simple_query_1::filter_avx,6,0.014206
simple_query_1::filter_avx,7,0.0142019
simple_query_1::filter_avx,8,0.0142302
simple_query_1::filter_avx,9,0.0142157
simple_query_1::aggregate,0,0.000885211
simple_query_1::aggregate,1,0.000812029
simple_query_1::aggregate,2,0.000785923
simple_query_1::aggregate,3,0.00074789
simple_query_1::aggregate,4,0.000737052
simple_query_1::aggregate,5,0.000746506
simple_query_1::aggregate,6,0.000723142
simple_query_1::aggregate,7,0.0007239
simple_query_1::aggregate,8,0.000724058
simple_query_1::aggregate,9,0.000725903
simple_query_1::duckdb,0,0.380443
simple_query_1::duckdb,1,0.376707
simple_query_1::duckdb,2,0.379563
simple_query_1::duckdb,3,0.38769
simple_query_1::duckdb,4,0.381228
simple_query_1::duckdb,5,0.381352
simple_query_1::duckdb,6,0.379319
simple_query_1::duckdb,7,0.378924
simple_query_1::duckdb,8,0.376596
simple_query_1::duckdb,9,0.376537
simple_query_2::end_to_end,0,0.022896
simple_query_2::end_to_end,1,0.0200592
simple_query_2::end_to_end,2,0.0201287
simple_query_2::end_to_end,3,0.0201657
simple_query_2::end_to_end,4,0.0201489
simple_query_2::end_to_end,5,0.0200784
simple_query_2::end_to_end,6,0.0201448
simple_query_2::end_to_end,7,0.0201084
simple_query_2::end_to_end,8,0.0201995
simple_query_2::end_to_end,9,0.0201446
simple_query_2::filter,0,0.0334373
simple_query_2::filter,1,0.0334906
simple_query_2::filter,2,0.0334286
simple_query_2::filter,3,0.0334423
simple_query_2::filter,4,0.0334615
simple_query_2::filter,5,0.0334445
simple_query_2::filter,6,0.0334846
simple_query_2::filter,7,0.0335021
simple_query_2::filter,8,0.033539
simple_query_2::filter,9,0.0336714
simple_query_2::aggregate,0,0.00086175
simple_query_2::aggregate,1,0.000797135
simple_query_2::aggregate,2,0.000772953
simple_query_2::aggregate,3,0.000755126
simple_query_2::aggregate,4,0.000748275
simple_query_2::aggregate,5,0.00073732
simple_query_2::aggregate,6,0.000726519
simple_query_2::aggregate,7,0.000730218
simple_query_2::aggregate,8,0.000733196
simple_query_2::aggregate,9,0.000745664
simple_query_2::duckdb,0,0.28784
simple_query_2::duckdb,1,0.2846
simple_query_2::duckdb,2,0.288069
simple_query_2::duckdb,3,0.285624
simple_query_2::duckdb,4,0.287265
simple_query_2::duckdb,5,0.283229
simple_query_2::duckdb,6,0.28509
simple_query_2::duckdb,7,0.283798
simple_query_2::duckdb,8,0.285107
simple_query_2::duckdb,9,0.284676
simple_query_3::end_to_end,0,0.0427775
simple_query_3::end_to_end,1,0.0380864
simple_query_3::end_to_end,2,0.0401317
simple_query_3::end_to_end,3,0.0379604
simple_query_3::end_to_end,4,0.0384984
simple_query_3::end_to_end,5,0.0443201
simple_query_3::end_to_end,6,0.0380601
simple_query_3::end_to_end,7,0.0393635
simple_query_3::end_to_end,8,0.0377019
simple_query_3::end_to_end,9,0.0410138
simple_query_3::filter,0,0.0334733
simple_query_3::filter,1,0.0334548
simple_query_3::filter,2,0.0334167
simple_query_3::filter,3,0.0334839
simple_query_3::filter,4,0.0334596
simple_query_3::filter,5,0.0335033
simple_query_3::filter,6,0.0337203
simple_query_3::filter,7,0.0338885
simple_query_3::filter,8,0.0336782
simple_query_3::filter,9,0.0337508
simple_query_3::aggregate,0,0.0304064
simple_query_3::aggregate,1,0.0334789
simple_query_3::aggregate,2,0.0332689
simple_query_3::aggregate,3,0.0344053
simple_query_3::aggregate,4,0.031462
simple_query_3::aggregate,5,0.0366562
simple_query_3::aggregate,6,0.0354016
simple_query_3::aggregate,7,0.0321774
simple_query_3::aggregate,8,0.0309214
simple_query_3::aggregate,9,0.0328613
simple_query_3::duckdb,0,1.24346
simple_query_3::duckdb,1,0.313794
simple_query_3::duckdb,2,0.311894
simple_query_3::duckdb,3,0.313356
simple_query_3::duckdb,4,0.313612
simple_query_3::duckdb,5,0.318216
simple_query_3::duckdb,6,0.312926
simple_query_3::duckdb,7,0.310811
simple_query_3::duckdb,8,0.309859
simple_query_3::duckdb,9,0.311341
